cbsa,long,lat
"Akron, OH",-81.34953565,41.14873924
"Albany-Schenectady-Troy, NY",-73.94197711,42.78851387
"Albuquerque, NM",-106.4715965,35.12229649
"Allentown-Bethlehem-Easton, PA-NJ",-75.40384687,40.78935959
"Anchorage, AK",-149.5428119,62.24338945
"Ann Arbor, MI",-83.83877185,42.25323525
"Asheville, NC",-82.68264979,35.60063207
"Atlanta-Sandy Springs-Alpharetta, GA",-84.39957585,33.69277145
"Augusta-Richmond County, GA-SC",-81.98293527,33.46104378
"Austin-Round Rock-Georgetown, TX",-97.65445467,30.26261515
"Bakersfield, CA",-118.729911,35.34285278
"Baltimore-Columbia-Towson, MD",-76.5861565,39.34537907
"Baton Rouge, LA",-91.12722104,30.51789452
"Beaumont-Port Arthur, TX",-94.20812464,30.1016976
"Birmingham-Hoover, AL",-86.72819724,33.40368737
"Boise City, ID",-116.1432564,43.0160194
"Boston-Cambridge-Newton, MA-NH",-71.10431152,42.55799564
"Boulder, CO",-105.3577149,40.0924671
"Bremerton-Silverdale-Port Orchard, WA",-122.6755725,47.61275311
"Bridgeport-Stamford-Norwalk, CT",-73.38884705,41.27342908
"Brownsville-Harlingen, TX",-97.5319296,26.12789724
"Buffalo-Cheektowaga, NY",-78.73471304,42.9098118
"Canton-Massillon, OH",-81.25349501,40.71866931
"Cape Coral-Fort Myers, FL",-81.82108708,26.57924794
"Cedar Rapids, IA",-91.63134298,42.09147942
"Charleston, WV",-81.61904847,38.35611589
"Charleston-North Charleston, SC",-80.05033058,33.04535681
"Charlotte-Concord-Gastonia, NC-SC",-80.79533077,35.16860834
"Chattanooga, TN-GA",-85.35913253,35.05198884
"Chicago-Naperville-Elgin, IL-IN-WI",-87.96284219,41.70269853
"Cincinnati, OH-KY-IN",-84.48116363,39.10065654
"Clarksville, TN-KY",-87.62306218,36.69295608
"Cleveland-Elyria, OH",-81.68393137,41.37525039
"Colorado Springs, CO",-104.6579435,38.84251189
"Columbia, SC",-81.04245725,34.09176156
"Columbus, GA-AL",-84.84390685,32.41820843
"Columbus, OH",-82.83678107,39.96813449
"Corpus Christi, TX",-97.57776269,27.85423636
"Crestview-Fort Walton Beach-Destin, FL",-86.36550299,30.68144538
"Dallas-Fort Worth-Arlington, TX",-96.97038524,32.84951156
"Davenport-Moline-Rock Island, IA-IL",-90.46592184,41.39688647
"Dayton-Kettering, OH",-84.14194716,39.82946974
"Deltona-Daytona Beach-Ormond Beach, FL",-81.2284806,29.1780736
"Denver-Aurora-Lakewood, CO",-104.894421,39.43371602
"Des Moines-West Des Moines, IA",-93.76183878,41.57567551
"Detroit-Warren-Dearborn, MI",-83.23675824,42.72192102
"Duluth, MN-WI",-92.21220209,47.39716398
"Durham-Chapel Hill, NC",-78.99706255,36.06284766
"El Paso, TX",-105.5410397,31.51311642
"Erie, PA",-80.03224972,41.99155076
"Eugene-Springfield, OR",-122.8470207,43.93877181
"Evansville, IN-KY",-87.57908515,37.97111554
