from_cbsa_info_CBSA Name,from_CBSA,from_CBSA_ID,from_state,to_cbsa_info_CBSA Name,to_CBSA,to_CBSA_ID,to_state,Total Perm,Total Temp,from_num_households,to_num_households
Akron,"Akron, OH",310M400US10420, OH,Akron,"Akron, OH",310M400US10420, OH,39282.00,1895.00,286543.00,286543.00
Akron,"Akron, OH",310M400US10420, OH,Canton-Massillon,"Canton-Massillon, OH",310M400US15940, OH,3195.00,72.00,286543.00,164758.00
Akron,"Akron, OH",310M400US10420, OH,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",310M400US15980, FL,86.00,419.00,286543.00,275965.00
Akron,"Akron, OH",310M400US10420, OH,Cleveland-Elyria,"Cleveland-Elyria, OH",310M400US17460, OH,5330.00,151.00,286543.00,861912.00
Akron,"Akron, OH",310M400US10420, OH,Columbus,"Columbus, OH",310M400US18140, OH,581.00,0.00,286543.00,794449.00
Akron,"Akron, OH",310M400US10420, OH,Lakeland-Winter Haven,"Lakeland-Winter Haven, FL",310M400US29460, FL,0.00,67.00,286543.00,235283.00
Akron,"Akron, OH",310M400US10420, OH,Naples-Marco Island,"Naples-Marco Island, FL",310M400US34940, FL,12.00,264.00,286543.00,142979.00
Akron,"Akron, OH",310M400US10420, OH,North Port-Sarasota-Bradenton,"North Port-Sarasota-Bradenton, FL",310M400US35840, FL,36.00,254.00,286543.00,328198.00
Akron,"Akron, OH",310M400US10420, OH,Phoenix-Mesa-Chandler,"Phoenix-Mesa-Chandler, AZ",310M400US38060, AZ,110.00,47.00,286543.00,1693396.00
Akron,"Akron, OH",310M400US10420, OH,Pittsburgh,"Pittsburgh, PA",310M400US38300, PA,58.00,0.00,286543.00,1009415.00
Akron,"Akron, OH",310M400US10420, OH,Tampa-St. Petersburg-Clearwater,"Tampa-St. Petersburg-Clearwater, FL",310M400US45300, FL,24.00,146.00,286543.00,1213267.00
Akron,"Akron, OH",310M400US10420, OH,Youngstown-Warren-Boardman,"Youngstown-Warren-Boardman, OH-PA",310M400US49660, OH-PA,985.00,0.00,286543.00,230433.00
Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",310M400US10580, NY,Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",310M400US10580, NY,60870.00,2863.00,352713.00,352713.00
Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",310M400US10580, NY,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",310M400US15980, FL,0.00,353.00,352713.00,275965.00
Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",310M400US10580, NY,Deltona-Daytona Beach-Ormond Beach,"Deltona-Daytona Beach-Ormond Beach, FL",310M400US19660, FL,0.00,181.00,352713.00,258616.00
Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",310M400US10580, NY,Miami-Fort Lauderdale-Pompano Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",310M400US33100, FL,34.00,536.00,352713.00,2127517.00
Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",310M400US10580, NY,Myrtle Beach-Conway-North Myrtle Beach,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",310M400US34820, SC-NC,45.00,84.00,352713.00,187199.00
