id,Geographic Area Name,name,lat,long,2019_net_inflow,2019_total_moves_to,2019_total_moves_from,total_households,2019_ratio_net_inflow,2019_ratio_incoming,2020_Geographic Area Name,2020_net_inflow,2020_total_moves_to,2020_total_moves_from,2020_Estimate!!Total!!HOUSEHOLDS!!Total households,2020_ratio_net_inflow,2020_ratio_incoming,change_yoy,change_yoy_ratio_incoming,inflow_outflow_ratio_2019,inflow_outflow_ratio_2020,change_in_ratio
310M500US29340,"Lake Charles, LA","Lake Charles, LA",30.2265949,-93.2173758,-693,15586,16279,80514,-86.07198748,1935.812405,"Lake Charles, LA",-4715,19848,24563,80514,-585.6124401,2465.161338,-499.5404526,529.3489331,0.957429818,0.80804462,-15.60273086
310M500US24700,"Greensburg, IN","Greensburg, IN",39.3372722,-85.483581,158,2108,1950,10353,152.6127692,2036.124795,"Greensburg, IN",-59,1705,1764,10353,-56.98831257,1646.865643,-209.6010818,-389.2591519,1.081025641,0.966553288,-10.58923569
310M500US44020,"Spirit Lake, IA","Spirit Lake, IA",43.4226192,-95.1022313,-43,1215,1258,8174,-52.60582334,1486.420357,"Spirit Lake, IA",-146,1112,1258,8174,-178.6151211,1360.411059,-126.0092978,-126.0092978,0.96581876,0.883942766,-8.477366255
310M500US41860,"San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Berkeley, CA",37.8715226,-122.273042,-32261,365601,397862,1703275,-189.4057037,2146.459027,"San Francisco-Oakland-Berkeley, CA",-78407,425902,504309,1703275,-460.3308332,2500.488764,-270.9251295,354.0297368,0.918914096,0.844525876,-8.095231119
310M500US22340,"Fitzgerald, GA","Fitzgerald, GA",31.7149082,-83.2526545,42,1183,1141,6443,65.18702468,1836.101195,"Fitzgerald, GA",-47,1007,1054,6443,-72.94738476,1562.93652,-138.1344094,-273.1646748,1.036809816,0.95540797,-7.851183993
310M500US15700,"Cambridge, MD","Cambridge, MD",38.5631744,-76.0788292,53,2445,2392,13183,40.20329212,1854.661306,"Cambridge, MD",-114,1864,1978,13183,-86.47500569,1413.942198,-126.6782978,-440.7191079,1.022157191,0.942366026,-7.806153992
310M500US42980,"Seymour, IN","Seymour, IN",38.9592201,-85.8902547,42,3853,3811,16753,25.07013669,2299.886587,"Seymour, IN",-228,3568,3796,16753,-136.0950278,2129.767803,-161.1651644,-170.1187847,1.011020729,0.939936776,-7.030909638
310M500US34460,"Mount Sterling, KY","Mount Sterling, KY",38.0564679,-83.9432556,226,3035,2809,17959,125.8421961,1689.960466,"Mount Sterling, KY",15,2789,2774,17959,8.352358149,1552.981792,-117.489838,-136.9786736,1.080455678,1.005407354,-6.945988224
310M500US36220,"Odessa, TX","Odessa, TX",31.8456816,-102.3676431,-519,10266,10785,52530,-98.80068532,1954.311822,"Odessa, TX",-1489,11570,13059,52530,-283.4570721,2202.550923,-184.6563868,248.2391015,0.951877608,0.885979018,-6.923010789
310M500US12460,"Bainbridge, GA","Bainbridge, GA",30.9037995,-84.5754699,40,1517,1477,10084,39.66679889,1504.363348,"Bainbridge, GA",-66,1576,1642,10084,-65.45021817,1562.871876,-105.1170171,58.50852836,1.027081923,0.959805116,-6.550286361
310M500US18420,"Corinth, MS","Corinth, MS",34.9342548,-88.5222702,63,2080,2017,14649,43.00634856,1419.892143,"Corinth, MS",-74,1969,2043,14649,-50.51539354,1344.119052,-93.5217421,-75.77309031,1.031234507,0.963778757,-6.541261907
310M500US27600,"Jefferson, GA","Jefferson, GA",34.1170537,-83.5723876,1555,6211,4656,23166,671.2423379,2681.084348,"Jefferson, GA",1325,6644,5319,23166,571.9589053,2867.996201,-99.28343262,186.9118536,1.333977663,1.249106975,-6.362227088
310M500US31680,"Malvern, AR","Malvern, AR",34.3623149,-92.8129462,151,2115,1964,12599,119.8507818,1678.704659,"Malvern, AR",20,1975,1955,12599,15.87427574,1567.584729,-103.9765061,-111.1199302,1.07688391,1.010230179,-6.18950016
310M500US32580,"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",26.2336971,-98.1775638,3238,30082,26844,238345,135.8534897,1262.120036,"McAllen-Edinburg-Mission, TX",1635,32467,30832,238345,68.59804066,1362.185068,-67.25544903,100.0650318,1.120622858,1.05302932,-6.03178289
310M500US34420,"Mount Pleasant, TX","Mount Pleasant, TX",33.1567863,-94.968269,45,1629,1584,15498,29.03600465,1051.103368,"Mount Pleasant, TX",-51,1537,1588,15498,-32.90747193,991.7408698,-61.94347658,-59.36249839,1.028409091,0.967884131,-5.885299971
310M500US48980,"Wilson, NC","Wilson, NC",35.7212689,-77.9155395,137,4765,4628,32014,42.79377772,1488.41132,"Wilson, NC",-151,4875,5026,32014,-47.1668645,1522.771288,-89.96064222,34.35996751,1.02960242,0.969956228,-5.793128617
310M500US34140,"Moscow, ID","Moscow, ID",46.7323875,-117.000165,-111,2886,2997,15422,-71.97510051,1871.352613,"Moscow, ID",-302,3061,3363,15422,-195.8241473,1984.826871,-123.8490468,113.4742576,0.962962963,0.910199227,-5.479311055
310M500US42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",47.6061031,-122.3320534,6949,455012,448063,1499147,46.35302609,3035.139316,"Seattle-Tacoma-Bellevue, WA",-19342,466124,485466,1499147,-129.0200361,3109.261467,-175.3730621,74.1221508,1.01550898,0.960157869,-5.450578176
310M500US19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL",30.6035255,-87.9036047,2253,18471,16218,80930,278.388731,2282.342765,"Daphne-Fairhope-Foley, AL",1505,20550,19045,80930,185.9631781,2539.231435,-92.42555295,256.8886692,1.138919719,1.079023366,-5.259049618
310M500US29900,"Laurinburg, NC","Laurinburg, NC",34.7740494,-79.4628248,23,1336,1313,12922,17.79910231,1033.895682,"Laurinburg, NC",-49,1323,1372,12922,-37.91982665,1023.83532,-55.71892896,-10.06036217,1.017517136,0.964285714,-5.231501283
310M500US44860,"Sulphur Springs, TX","Sulphur Springs, TX",33.1384479,-95.6010668,108,2399,2291,13424,80.45292014,1787.097735,"Sulphur Springs, TX",-15,2039,2054,13424,-11.17401669,1518.921335,-91.62693683,-268.1764005,1.047140986,0.992697176,-5.199281752
310M500US44540,"Sterling, CO","Sterling, CO",40.6255415,-103.207709,53,1141,1088,8393,63.14786131,1359.466222,"Sterling, CO",-7,1203,1210,8393,-8.34028357,1433.337305,-71.48814488,73.87108305,1.048713235,0.994214876,-5.19668842
310M500US48780,"Williston, ND","Williston, ND",48.1469683,-103.6179745,38,3732,3694,14320,26.53631285,2606.145251,"Williston, ND",-179,4139,4318,14320,-125,2890.363128,-151.5363128,284.2178771,1.010286952,0.958545623,-5.121448787
310M500US41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",37.36883,-122.0363496,-14859,168178,183037,658350,-225.7006152,2554.53786,"San Jose-Sunnyvale-Santa Clara, CA",-27163,189764,216927,658350,-412.5920863,2882.418167,-186.8914711,327.8803068,0.918819692,0.874782761,-4.792771808
310M500US11740,"Ashland, OH","Ashland, OH",40.8686675,-82.3182178,-50,2918,2968,20417,-24.48939609,1429.201156,"Ashland, OH",-178,2708,2886,20417,-87.18225009,1326.345692,-62.69285399,-102.8554636,0.983153639,0.938322938,-4.559887562
310M500US20820,"Effingham, IL","Effingham, IL",39.1200418,-88.5433829,40,2095,2055,13877,28.82467392,1509.692297,"Effingham, IL",-48,1779,1827,13877,-34.58960871,1281.977373,-63.41428263,-227.714924,1.01946472,0.973727422,-4.486403235
310M500US29380,"Lake City, FL","Lake City, FL",30.1896756,-82.6392899,334,4371,4037,25133,132.8930092,1739.147734,"Lake City, FL",154,4626,4472,25133,61.2740222,1840.607966,-71.61898699,101.4602316,1.082734704,1.034436494,-4.460761262
310M500US15660,"Calhoun, GA","Calhoun, GA",34.502587,-84.9510542,350,3953,3603,20561,170.2251836,1922.571859,"Calhoun, GA",185,3890,3705,20561,89.97616847,1891.931326,-80.24901513,-30.64053305,1.097141271,1.049932524,-4.302886856
310M500US19540,"Decatur, IN","Decatur, IN",40.830603,-84.9291329,36,1937,1901,12481,28.84384264,1551.958978,"Decatur, IN",-42,1679,1721,12481,-33.65114975,1345.244772,-62.49499239,-206.7142056,1.018937401,0.975595584,-4.25362906
310M500US23660,"Galesburg, IL","Galesburg, IL",40.9478158,-90.3712395,7,3873,3866,20680,3.384912959,1872.823985,"Galesburg, IL",-143,3414,3557,20680,-69.14893617,1650.870406,-72.53384913,-221.9535783,1.001810657,0.959797582,-4.1937141
310M500US16180,"Carson City, NV","Carson City, NV",39.1637984,-119.7674034,293,5359,5066,22755,128.7629093,2355.086794,"Carson City, NV",66,4907,4841,22755,29.00461437,2156.449132,-99.75829488,-198.6376621,1.057836557,1.013633547,-4.178623847
