index,pre_from_tot,pre_to_tot,pre_inflow_outflow_ratio,during_from_tot,during_to_tot,during_inflow_outflow_ratio,from_fips_county_x,from_2013 code,percentage_change_ratio,round_2020_ratio,diffrence_ratio,pos_neg,ratio_2020_pos_neg,ratio_2019_pos_neg,from_county_name,from_cbsa_info_CBSA Title,from_Abbreviation,from_fips_county_y
1073,57255,55186,0.963863418,61562,58113,0.943975179,1073,1,-2.063387631,0.9,0,NEGATIVE,NEG,NEG,JEFFERSON,"Birmingham-Hoover, AL",AL,1073
4013,520243,561965,1.080197139,548922,591502,1.077570219,4013,1,-0.243188868,1.1,0,NEGATIVE,POS,POS,MARICOPA,"Phoenix-Mesa-Chandler, AZ",AZ,4013
6001,141284,132264,0.93615696,163898,143857,0.87772273,6001,1,-6.241926613,0.9,-0.1,NEGATIVE,NEG,NEG,ALAMEDA,"San Francisco-Oakland-Berkeley, CA",CA,6001
6037,785738,729123,0.92794672,876951,769152,0.87707523,6037,1,-5.482156365,0.9,-0.1,NEGATIVE,NEG,NEG,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",CA,6037
6059,279193,273184,0.978477254,286561,284399,0.992455359,6059,1,1.428556913,1,0,POSITIVE,NEG,NEG,ORANGE,"Los Angeles-Long Beach-Anaheim, CA",CA,6059
6065,187674,204118,1.087620022,185607,213068,1.147952394,6065,1,5.547192114,1.1,0.1,POSITIVE,POS,POS,RIVERSIDE,"Riverside-San Bernardino-Ontario, CA",CA,6065
6067,145208,146326,1.0076993,145297,146639,1.009236254,6067,1,0.152521065,1,0,POSITIVE,POS,POS,SACRAMENTO,"Sacramento-Roseville-Folsom, CA",CA,6067
6073,341077,333409,0.977518273,355113,349572,0.984396516,6073,1,0.703643423,1,0,POSITIVE,NEG,NEG,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",CA,6073
6085,180527,164813,0.912954849,214524,186087,0.867441405,6085,1,-4.985289662,0.9,0,NEGATIVE,NEG,NEG,SANTA CLARA,"San Jose-Sunnyvale-Santa Clara, CA",CA,6085
8031,106663,102460,0.96059552,122426,113317,0.92559587,8031,1,-3.643536699,0.9,0,NEGATIVE,NEG,NEG,DENVER,"Denver-Aurora-Lakewood, CO",CO,8031
9003,82139,81402,0.991027405,79045,81103,1.026035802,9003,1,3.532535776,1,0,POSITIVE,POS,NEG,HARTFORD,"Hartford-East Hartford-Middletown, CT",CT,9003
11001,85072,74831,0.879619616,104694,81887,0.782155615,11001,1,-11.08024413,0.8,-0.1,NEGATIVE,NEG,NEG,DISTRICT OF COLUMBIA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,11001
12031,111612,109122,0.977690571,119176,117775,0.988244277,12031,1,1.079452618,1,0,POSITIVE,NEG,NEG,DUVAL,"Jacksonville, FL",FL,12031
12057,185413,189204,1.020446247,189101,194869,1.030502218,12057,1,0.985448415,1,0,POSITIVE,POS,POS,HILLSBOROUGH,"Tampa-St. Petersburg-Clearwater, FL",FL,12057
12086,276213,260115,0.941718891,293705,275781,0.938972779,12086,1,-0.291606346,0.9,0,NEGATIVE,NEG,NEG,MIAMI-DADE,"Miami-Fort Lauderdale-Pompano Beach, FL",FL,12086
12095,189178,179175,0.947123873,206989,194211,0.938267251,12095,1,-0.935107022,0.9,0,NEGATIVE,NEG,NEG,ORANGE,"Orlando-Kissimmee-Sanford, FL",FL,12095
12103,124349,130387,1.048556884,124210,131011,1.054754046,12103,1,0.591018132,1.1,0,POSITIVE,POS,POS,PINELLAS,"Tampa-St. Petersburg-Clearwater, FL",FL,12103
13121,139728,138262,0.989508187,153539,148788,0.969056722,13121,1,-2.066831367,1,0,NEGATIVE,NEG,NEG,FULTON,"Atlanta-Sandy Springs-Alpharetta, GA",GA,13121
17031,477846,442636,0.926315173,504683,443173,0.878121514,17031,1,-5.202727991,0.9,0,NEGATIVE,NEG,NEG,COOK,"Chicago-Naperville-Elgin, IL-IN-WI",IL,17031
18097,123987,117382,0.946728286,125300,115650,0.922984836,18097,1,-2.507947633,0.9,0,NEGATIVE,NEG,NEG,MARION,"Indianapolis-Carmel-Anderson, IN",IN,18097
21111,80760,77908,0.964685488,81114,77234,0.952166087,21111,1,-1.297770184,1,0,NEGATIVE,NEG,NEG,JEFFERSON,"Louisville/Jefferson County, KY-IN",KY,21111
22071,29495,27312,0.925987456,33277,30943,0.929861466,22071,1,0.418365319,0.9,0,POSITIVE,NEG,NEG,ORLEANS,"New Orleans-Metairie, LA",LA,22071
24510,69624,62257,0.894188785,67113,60470,0.901017687,24510,1,0.763697915,0.9,0,POSITIVE,NEG,NEG,BALTIMORE CITY,"Baltimore-Columbia-Towson, MD",MD,24510
